ours	corpus	label	fault	note
節	节	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
葉	叶	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
遼	辽	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
屬	属	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
懷	怀	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
軹	轵	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
楊	杨	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
絳	绛	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
頻	频	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蓮	莲	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
魚	鱼	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
復	复	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
斂	敛	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
單	单	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
瀨	濑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
勞	劳	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
棟	栋	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
剛	刚	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鸞	鸾	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鳥	鸟	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
媼	媪	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
圍	围	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
頭	头	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
齊	齐	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
樓	楼	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
煩	烦	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蓋	盖	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
龜	龟	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
險	险	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
