entity_type,ordinal,source_label,canonical_name,parent_city,base_kind,detail_url,tribe,x_px,y_px,x_norm,y_norm,marker_bbox,method,confidence,review_status,source_image_sha256,source_width,source_height,source_locator,notes
"CITY","001","襄平","襄平","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E8%A5%84%E5%B9%B3","NOT_APPLICABLE","3827","237.5","0.91533126","0.05666905","3799:220:3855:255","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=3799:220:3855:255;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","002","北平","北平","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E5%8C%97%E5%B9%B3","NOT_APPLICABLE","3182","331.5","0.76106195","0.07909807","3154:314:3210:349","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=3154:314:3210:349;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","003","薊","薊","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E8%96%8A","NOT_APPLICABLE","2574","275.5","0.61564219","0.06573610","2546:258:2602:293","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=2546:258:2602:293;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","004","晋陽","晋陽","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E6%99%8B%E9%99%BD","NOT_APPLICABLE","2042","674.5","0.48839990","0.16094011","2014:657:2070:692","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=2014:657:2070:692;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","005","南皮","南皮","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E5%8D%97%E7%9A%AE","NOT_APPLICABLE","2936","665.5","0.70222435","0.15879265","2908:648:2964:683","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=2908:648:2964:683;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","006","鄴","鄴","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%EF%BD%B7%EF%BE%9E%EF%BD%AE%EF%BD%B3","NOT_APPLICABLE","2384","941.5","0.57019852","0.22464806","2356:924:2412:959","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=2356:924:2412:959;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row. Detail link resolves to the half-width ｷﾞｮｳ slug."
"CITY","007","平原","平原","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E5%B9%B3%E5%8E%9F","NOT_APPLICABLE","2916","978.5","0.69744080","0.23347650","2888:961:2944:996","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=2888:961:2944:996;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","008","北海","北海","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E5%8C%97%E6%B5%B7","NOT_APPLICABLE","3638","938.5","0.87012676","0.22393224","3610:921:3666:956","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=3610:921:3666:956;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
"CITY","009","下邳","下邳","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E4%B8%8B%E3%83%92","NOT_APPLICABLE","3525","1567.5","0.84309974","0.37401575","3497:1550:3553:1585","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=3497:1550:3553:1585;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row. Detail link resolves to the 下ヒ slug."
"CITY","010","小沛","小沛","NOT_APPLICABLE","CITY","https://wikiwiki.jp/sangokushi14/%E5%B0%8F%E6%B2%9B","NOT_APPLICABLE","3087","1481.5","0.73834011","0.35349559","3059:1464:3115:1499","RGB(255|255|0) 4-connected fill component + 8x nearest-neighbor visual adjudication","HIGH","SELF_ADJUDICATED;A2_INDEPENDENT_REVIEW_CLEARED_2026-07-17;SPEC_DATA_IMAGE_PASS;RIGHTS_WARN","dfe5049245e730ff1f81325157dedfcf1079786e33c6ad8b3970140954910a89","4181","4191","https://cdn.wikiwiki.jp/to/w/sangokushi14/地理/::attach/PK.png?rev=ab2f8e0ceae2aeb16f3291ffa88907d0&t=20201213195804#fill-bbox=3059:1464:3115:1499;https://wikiwiki.jp/sangokushi14/地理#PK地図","Yellow city plaque visually read at 8x and reconciled to the linked 都市/地理 city row."
