from,to,evidence_series,source_url,confidence,notes
襄平,北平,RTK14,https://wikiwiki.jp/sangokushi14/襄平,HIGH,sym; both endpoints list; access 2026-07-17
北平,薊,RTK14,https://wikiwiki.jp/sangokushi14/北平,HIGH,sym; both list
北平,南皮,RTK14,https://wikiwiki.jp/sangokushi14/北平,HIGH,sym; both list
薊,晋陽,RTK14,https://wikiwiki.jp/sangokushi14/薊,HIGH,sym; both list
薊,南皮,RTK14,https://wikiwiki.jp/sangokushi14/薊,HIGH,sym; both list
薊,鄴,RTK14,https://wikiwiki.jp/sangokushi14/薊,HIGH,sym; both list
晋陽,鄴,RTK14,https://wikiwiki.jp/sangokushi14/晋陽,HIGH,sym; both list
晋陽,洛陽,RTK14,https://wikiwiki.jp/sangokushi14/洛陽,MED,DISPUTED; both list in 隣接都市 field but 洛陽 page prose questions whether 晋陽 is treated as adjacent in-game (晋陽とは隣接扱いされていないのか)
南皮,鄴,RTK14,https://wikiwiki.jp/sangokushi14/南皮,HIGH,sym; both list
南皮,平原,RTK14,https://wikiwiki.jp/sangokushi14/南皮,HIGH,sym; both list
鄴,平原,RTK14,https://wikiwiki.jp/sangokushi14/ｷﾞｮｳ,HIGH,sym; both list
鄴,濮陽,RTK14,https://wikiwiki.jp/sangokushi14/ｷﾞｮｳ,HIGH,sym; both list
鄴,陳留,RTK14,https://wikiwiki.jp/sangokushi14/ｷﾞｮｳ,HIGH,sym; both list
平原,北海,RTK14,https://wikiwiki.jp/sangokushi14/平原,HIGH,sym; both list
平原,濮陽,RTK14,https://wikiwiki.jp/sangokushi14/平原,HIGH,sym; both list
北海,下邳,RTK14,https://wikiwiki.jp/sangokushi14/北海,HIGH,sym; both list
北海,濮陽,RTK14,https://wikiwiki.jp/sangokushi14/濮陽,LOW,ASYM; 濮陽 lists 北海 (with prose 距離が遠く rare); 北海 does NOT list 濮陽
下邳,小沛,RTK14,https://wikiwiki.jp/sangokushi14/下ヒ,HIGH,sym; both list
下邳,広陵,RTK14,https://wikiwiki.jp/sangokushi14/下ヒ,HIGH,sym; both list
下邳,寿春,RTK14,https://wikiwiki.jp/sangokushi14/下ヒ,HIGH,sym; both list
小沛,寿春,RTK14,https://wikiwiki.jp/sangokushi14/小沛,HIGH,sym; both list
小沛,濮陽,RTK14,https://wikiwiki.jp/sangokushi14/小沛,HIGH,sym; both list
小沛,陳留,RTK14,https://wikiwiki.jp/sangokushi14/小沛,HIGH,sym; both list
広陵,寿春,RTK14,https://wikiwiki.jp/sangokushi14/広陵,HIGH,sym; both list
広陵,廬江,RTK14,https://wikiwiki.jp/sangokushi14/広陵,HIGH,sym; both list
広陵,建業,RTK14,https://wikiwiki.jp/sangokushi14/広陵,HIGH,sym; both list
寿春,廬江,RTK14,https://wikiwiki.jp/sangokushi14/寿春,HIGH,sym; both list
寿春,許昌,RTK14,https://wikiwiki.jp/sangokushi14/寿春,LOW,ASYM; 寿春 lists 許昌 but 許昌 does NOT list 寿春; 許昌 page comment says 寿春→許昌 passes through 汝南 territory (not in-game adjacent)
寿春,汝南,RTK14,https://wikiwiki.jp/sangokushi14/寿春,HIGH,sym; both list
廬江,建業,RTK14,https://wikiwiki.jp/sangokushi14/廬江,HIGH,sym; both list
廬江,柴桑,RTK14,https://wikiwiki.jp/sangokushi14/廬江,HIGH,sym; both list
廬江,江夏,RTK14,https://wikiwiki.jp/sangokushi14/廬江,HIGH,sym; both list
濮陽,陳留,RTK14,https://wikiwiki.jp/sangokushi14/濮陽,HIGH,sym; both list
陳留,許昌,RTK14,https://wikiwiki.jp/sangokushi14/陳留,HIGH,sym; both list
陳留,洛陽,RTK14,https://wikiwiki.jp/sangokushi14/陳留,HIGH,sym; both list
許昌,汝南,RTK14,https://wikiwiki.jp/sangokushi14/許昌,HIGH,sym; both list
許昌,宛,RTK14,https://wikiwiki.jp/sangokushi14/許昌,HIGH,sym; both list
許昌,新野,RTK14,https://wikiwiki.jp/sangokushi14/許昌,HIGH,sym; both list
汝南,新野,RTK14,https://wikiwiki.jp/sangokushi14/汝南,HIGH,sym; both list
洛陽,長安,RTK14,https://wikiwiki.jp/sangokushi14/洛陽,HIGH,sym; both list
