name_kanji	name_reading	page_key	officer_number	name_korean	expected_mismatch_field
傅巽	フソン	傅巽	807	부손	charm
公孫越	コウソンエツ	公孫越	261	공손월	death
劉和	リュウカ	劉和	927	유화	death
厳政	ゲンセイ	厳政	237	엄정	politics
孔伷	コウチュウ	孔チュウ	270	공주	charm
孔融	コウユウ	孔融	280	공융	charm
張先	チョウセン	張先	641	장선	death
張楊	チョウヨウ	張楊	661	장양	death
成廉	セイレン	成廉	477	성렴	death
李豊	リホウ	李豊(袁)	919	이풍	death
梁綱	リョウコウ	梁綱	970	양강	death
楽就	ガクシュウ	楽就	98	악취	death
淳于瓊	ジュンウケイ	淳于瓊	395	순우경	politics
管承	カンショウ	管承	165	관승	leadership
蔡邕	サイヨウ	蔡ヨウ	327	채옹	intelligence
袁渙	エンカン	袁渙	28	원환	death
関羽	カンウ	関羽	147	관우	politics
陳紀	チンキ	陳紀	670	진기	death
雷叙	ライジョ	雷叙	885	뇌서	death
韓暹	カンセン	韓暹	169	한섬	death
韓遂	カンスイ	韓遂	166	한수	politics
韓馥	カンフク	韓馥	182	한복	death
