id	name_korean
10001	정의
10002	정원
10003	정고
10004	정봉
10005	정봉
10006	정비
10007	만욱
10008	상관자수
10009	구력거
10010	구건
10011	구본
10012	우독
10013	우금
10014	우미
10015	우전
10016	영호우
10017	중장통
10018	임준
10019	이적
10020	오부
10021	오연
10022	오습
10023	하의
10024	하종
10025	하안
10026	하증
10027	하식
10028	하정
10029	하씨
10030	하묘
10031	하진
10032	후성
10033	후씨
10034	후선
10035	후음
10036	아하소과
10037	창자
10038	윤직
10039	부첨
10040	부하
10041	부사인
10042	부영
10043	부손
10044	부간
10045	부융
10046	올돌골
10047	당균
10048	전상
10049	전역
10050	전유
10051	전종
10052	전의
10053	전단
10054	전기
10055	유섭
10056	공손도
10057	공손강
10058	공손공
10059	공손황
10060	공손연
10061	공손찬
10062	공손범
10063	공손속
10064	공손월
10065	전만
10066	전위
10067	냉포
10068	능조
10069	능통
10070	유승
10071	유비
10072	유선
10073	유주
10074	유소
10075	유훈
10076	유화
10077	유기
10078	유봉
10079	유대
10080	유파
10081	유도
10082	유연
10083	유순
10084	유방
10085	유민
10086	유엽
10087	유씨
10088	유영
10089	유언
10090	유리
10091	유기
10092	유종
10093	유모
10094	유장
10095	유괴
10096	유선
10097	유반
10098	유선
10099	유요
10100	유우
10101	유표
10102	유심
10103	유표
10104	유현
10105	유벽
10106	유정
10107	유복
10108	구성
10109	천만
10110	비연
10111	탁응
10112	선경
10113	변희
10114	변씨
10115	엄정
10116	엄씨
10117	엄준
10118	엄백호
10119	엄강
10120	엄여
10121	엄안
10122	구안
10123	구부
10124	사환
10125	사적
10126	사마주
10127	사마부
10128	사마사
10129	사마의
10130	사마유
10131	사마소
10132	사마랑
10133	사마망
10134	사마염
10135	사마지
10136	상총
10137	상랑
10138	오언
10139	오찬
10140	여예
10141	여공
10142	여개
10143	여일
10144	여위황
10145	여대
10146	여포
10147	여건
10148	여거
10149	여광
10150	여령기
10151	여범
10152	여상
10153	여몽
10154	여건
10155	오광
10156	오국태
10157	오거
10158	오의
10159	오돈
10160	오경
10161	오반
10162	오범
10163	오강
10164	오란
10165	오질
10166	주창
10167	주우
10168	주선
10169	주지
10170	주앙
10171	주흔
10172	주조
10173	주태
10174	주유
10175	주군
10176	주윤
10177	주소
10178	주방
10179	호주천
10180	당자
10181	당빈
10182	국연
10183	토안
10184	사광
10185	사일
10186	사손서
10187	사흠
10188	사휘
10189	사무
10190	사섭
10191	사지
10192	하후영녀
10193	하후유
10194	하후화
10195	하후위
10196	하후상
10197	하후덕
10198	하후은
10199	하후혜
10200	하후돈
10201	하후영
10202	하후무
10203	하후씨
10204	하후연
10205	하후헌
10206	하후현
10207	하후란
10208	하후패
10209	대교
10210	태사향
10211	태사자
10212	해니
10213	요주
10214	강서
10215	강유
10216	누규
10217	규람
10218	공주
10219	공융
10220	맹우
10221	맹광
10222	맹종
10223	맹건
10224	맹획
10225	맹달
10226	계옹
10227	손건
10228	손량
10229	손중
10230	손휴
10231	손기
10232	손광
10233	손화
10234	손견
10235	손일
10236	손환
10237	손분
10238	손상향
10239	손준
10240	손홍
10241	손려
10242	손호
10243	손랑
10244	손송
10245	손환
10246	손권
10247	손흠
10248	손씨
10249	손하
10250	손유
10251	손이
10252	손등
10253	손교
10254	손례
10255	손수
10256	손책
10257	손침
10258	손익
10259	손패
10260	손관
10261	손분
10262	손자
10263	손보
10264	손소
10265	손진
10266	손정
10267	손소
10268	손노반
10269	손노육
10270	송충
10271	송헌
10272	송겸
10273	종예
10274	심영
10275	심배
10276	사견
10277	사원
10278	소교
10279	우돌
10280	윤대목
10281	윤해
10282	윤례
10283	윤상
10284	윤묵
10285	잠위
10286	잠혼
10287	최용
10288	최주평
10289	최림
10290	최씨
10291	최염
10292	혜강
10293	주태
10294	좌혁
10295	좌령
10296	사찬
10297	대래동주
10298	상림
10299	요화
10300	요립
10301	장임
10302	장휴
10303	장윤
10304	장선
10305	장훈
10306	장남
